   x      u
0.4194194194 -0.5711899609
0.4204204204 -0.5703311885
0.4214214214 -0.5694709198
0.4224224224 -0.5686091698
0.4234234234 -0.5677459532
0.4244244244 -0.5668812846
0.4254254254 -0.5660151785
0.4264264264 -0.5651476491
0.4274274274 -0.5642787107
0.4284284284 -0.5634083774
0.4294294294 -0.5625366629
0.4304304304 -0.5616635810
0.4314314314 -0.5607891454
0.4324324324 -0.5599133696
0.4334334334 -0.5590362668
0.4344344344 -0.5581578504
0.4354354354 -0.5572781334
0.4364364364 -0.5563971287
0.4374374374 -0.5555148492
0.4384384384 -0.5546313076
0.4394394394 -0.5537465164
0.4404404404 -0.5528604881
0.4414414414 -0.5519732351
0.4424424424 -0.5510847694
0.4434434434 -0.5501951033
0.4444444444 -0.5493042485
0.4454454454 -0.5484122171
0.4464464464 -0.5475190207
0.4474474474 -0.5466246708
0.4484484484 -0.5457291791
0.4494494494 -0.5448325569
0.4504504505 -0.5439348153
0.4514514515 -0.5430359657
0.4524524525 -0.5421360190
0.4534534535 -0.5412349861
0.4544544545 -0.5403328778
0.4554554555 -0.5394297050
0.4564564565 -0.5385254781
0.4574574575 -0.5376202077
0.4584584585 -0.5367139041
0.4594594595 -0.5358065777
0.4604604605 -0.5348982387
0.4614614615 -0.5339888971
0.4624624625 -0.5330785629
0.4634634635 -0.5321672460
0.4644644645 -0.5312549562
0.4654654655 -0.5303417031
0.4664664665 -0.5294274965
0.4674674675 -0.5285123457
0.4684684685 -0.5275962602
0.4694694695 -0.5266792493
0.4704704705 -0.5257613221
0.4714714715 -0.5248424880
0.4724724725 -0.5239227557
0.4734734735 -0.5230021344
0.4744744745 -0.5220806328
0.4754754755 -0.5211582598
0.4764764765 -0.5202350240
0.4774774775 -0.5193109340
0.4784784785 -0.5183859983
0.4794794795 -0.5174602253
0.4804804805 -0.5165336234
0.4814814815 -0.5156062008
0.4824824825 -0.5146779658
0.4834834835 -0.5137489263
0.4844844845 -0.5128190904
0.4854854855 -0.5118884661
0.4864864865 -0.5109570612
0.4874874875 -0.5100248834
0.4884884885 -0.5090919405
0.4894894895 -0.5081582401
0.4904904905 -0.5072237898
0.4914914915 -0.5062885969
0.4924924925 -0.5053526689
0.4934934935 -0.5044160131
0.4944944945 -0.5034786368
0.4954954955 -0.5025405472
0.4964964965 -0.5016017513
0.4974974975 -0.5006622562
0.4984984985 -0.4997220688
0.4994994995 -0.4987811961
0.5005005005 -0.4978396448
0.5015015015 -0.4968974218
0.5025025025 -0.4959545336
0.5035035035 -0.4950109871
0.5045045045 -0.4940667886
0.5055055055 -0.4931219447
0.5065065065 -0.4921764618
0.5075075075 -0.4912303464
0.5085085085 -0.4902836046
0.5095095095 -0.4893362427
0.5105105105 -0.4883882669
0.5115115115 -0.4874396834
0.5125125125 -0.4864904981
0.5135135135 -0.4855407171
0.5145145145 -0.4845903462
0.5155155155 -0.4836393915
0.5165165165 -0.4826878586
0.5175175175 -0.4817357534
0.5185185185 -0.4807830815
0.5195195195 -0.4798298486
0.5205205205 -0.4788760603
0.5215215215 -0.4779217221
0.5225225225 -0.4769668395
0.5235235235 -0.4760114178
0.5245245245 -0.4750554626
0.5255255255 -0.4740989791
0.5265265265 -0.4731419725
0.5275275275 -0.4721844480
0.5285285285 -0.4712264109
0.5295295295 -0.4702678662
0.5305305305 -0.4693088190
0.5315315315 -0.4683492743
0.5325325325 -0.4673892370
0.5335335335 -0.4664287121
0.5345345345 -0.4654677044
0.5355355355 -0.4645062187
0.5365365365 -0.4635442597
0.5375375375 -0.4625818323
0.5385385385 -0.4616189410
0.5395395395 -0.4606555905
0.5405405405 -0.4596917853
0.5415415415 -0.4587275300
0.5425425425 -0.4577628291
0.5435435435 -0.4567976870
0.5445445445 -0.4558321080
0.5455455455 -0.4548660967
0.5465465465 -0.4538996571
0.5475475475 -0.4529327937
0.5485485485 -0.4519655106
0.5495495495 -0.4509978120
0.5505505506 -0.4500297021
0.5515515516 -0.4490611849
0.5525525526 -0.4480922646
0.5535535536 -0.4471229451
0.5545545546 -0.4461532303
0.5555555556 -0.4451831243
0.5565565566 -0.4442126310
0.5575575576 -0.4432417541
0.5585585586 -0.4422704976
0.5595595596 -0.4412988651
0.5605605606 -0.4403268605
0.5615615616 -0.4393544874
0.5625625626 -0.4383817495
0.5635635636 -0.4374086505
0.5645645646 -0.4364351939
0.5655655656 -0.4354613834
0.5665665666 -0.4344872223
0.5675675676 -0.4335127143
0.5685685686 -0.4325378628
0.5695695696 -0.4315626711
