   x      v
0.0040000400 0.0353007322
0.0040100401 0.0353868067
0.0040200402 0.0354728716
0.0040300403 0.0355589269
0.0040400404 0.0356449726
0.0040500405 0.0357310087
0.0040600406 0.0358170352
0.0040700407 0.0359030521
0.0040800408 0.0359890593
0.0040900409 0.0360750570
0.0041000410 0.0361610451
0.0041100411 0.0362470236
0.0041200412 0.0363329925
0.0041300413 0.0364189518
0.0041400414 0.0365049015
0.0041500415 0.0365908416
0.0041600416 0.0366767721
0.0041700417 0.0367626930
0.0041800418 0.0368486043
0.0041900419 0.0369345061
0.0042000420 0.0370203982
0.0042100421 0.0371062808
0.0042200422 0.0371921538
0.0042300423 0.0372780171
0.0042400424 0.0373638709
0.0042500425 0.0374497151
0.0042600426 0.0375355498
0.0042700427 0.0376213748
0.0042800428 0.0377071903
0.0042900429 0.0377929961
0.0043000430 0.0378787924
0.0043100431 0.0379645792
0.0043200432 0.0380503563
0.0043300433 0.0381361239
0.0043400434 0.0382218819
0.0043500435 0.0383076303
0.0043600436 0.0383933691
0.0043700437 0.0384790984
0.0043800438 0.0385648181
0.0043900439 0.0386505282
0.0044000440 0.0387362287
0.0044100441 0.0388219197
0.0044200442 0.0389076011
0.0044300443 0.0389932730
0.0044400444 0.0390789353
0.0044500445 0.0391645880
0.0044600446 0.0392502311
0.0044700447 0.0393358647
0.0044800448 0.0394214887
0.0044900449 0.0395071032
0.0045000450 0.0395927081
0.0045100451 0.0396783034
0.0045200452 0.0397638892
0.0045300453 0.0398494654
0.0045400454 0.0399350320
0.0045500455 0.0400205892
0.0045600456 0.0401061367
0.0045700457 0.0401916747
0.0045800458 0.0402772031
0.0045900459 0.0403627220
0.0046000460 0.0404482314
0.0046100461 0.0405337311
0.0046200462 0.0406192214
0.0046300463 0.0407047021
0.0046400464 0.0407901732
0.0046500465 0.0408756348
0.0046600466 0.0409610868
0.0046700467 0.0410465294
0.0046800468 0.0411319623
0.0046900469 0.0412173857
0.0047000470 0.0413027996
0.0047100471 0.0413882039
0.0047200472 0.0414735987
0.0047300473 0.0415589840
0.0047400474 0.0416443597
0.0047500475 0.0417297259
0.0047600476 0.0418150825
0.0047700477 0.0419004296
0.0047800478 0.0419857672
0.0047900479 0.0420710952
0.0048000480 0.0421564137
0.0048100481 0.0422417227
0.0048200482 0.0423270222
0.0048300483 0.0424123121
0.0048400484 0.0424975925
0.0048500485 0.0425828633
0.0048600486 0.0426681246
0.0048700487 0.0427533764
0.0048800488 0.0428386187
0.0048900489 0.0429238515
0.0049000490 0.0430090747
0.0049100491 0.0430942884
0.0049200492 0.0431794926
0.0049300493 0.0432646873
0.0049400494 0.0433498724
0.0049500495 0.0434350481
0.0049600496 0.0435202142
0.0049700497 0.0436053708
0.0049800498 0.0436905179
0.0049900499 0.0437756554
0.0050000500 0.0438607835
0.0050100501 0.0439459020
0.0050200502 0.0440310111
0.0050300503 0.0441161106
0.0050400504 0.0442012006
0.0050500505 0.0442862811
0.0050600506 0.0443713521
0.0050700507 0.0444564136
0.0050800508 0.0445414656
0.0050900509 0.0446265081
0.0051000510 0.0447115410
0.0051100511 0.0447965645
0.0051200512 0.0448815785
